nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,communication_freq,layout_x,layout_y,family_member
1,4edf696e-d47b-481e-8cef-5ef7ffd7b369,17d7ce85-c65c-430f-9605-299f4b41fb37,Gail Windler,1,0.325899,0.19908,false
2,4edf696e-d47b-481e-8cef-5ef7ffd7b369,036aa922-d8b4-4e4a-8722-f6fc7d7bf0da,Latoya Schaden,1,0.114595,0.341077,false
3,4edf696e-d47b-481e-8cef-5ef7ffd7b369,d0eabdde-09b9-4e12-9586-33fbb76ce4b9,Daryl Heathcote,-1,0.297912,0.774195,true
4,4edf696e-d47b-481e-8cef-5ef7ffd7b369,5a23e23c-17d0-4854-afd9-0b2de350b277,Derrick Weissnat,1,0.51684,0.749524,false
5,4edf696e-d47b-481e-8cef-5ef7ffd7b369,3c3288b4-98d6-4119-8242-e9b1fa5d9a22,Glen Boehm,3,0.948166,0.245467,false
6,4edf696e-d47b-481e-8cef-5ef7ffd7b369,127fb050-6e41-4d04-b8de-81b01ef8f80c,Suzanne Huels,1,0.012791,0.313675,true
7,4edf696e-d47b-481e-8cef-5ef7ffd7b369,08f98bd7-4833-4d6f-b61f-a4e037f6d162,Terrence Bauch,3,0.030629,0.523452,true
8,4edf696e-d47b-481e-8cef-5ef7ffd7b369,685840c2-5638-4b55-9cd7-0cc13bc6d44a,Alyssa Turner,3,0.062709,0.010707,true
9,4edf696e-d47b-481e-8cef-5ef7ffd7b369,4ac89a13-a942-454d-8ef5-0f65951113e5,Gordon Blick,1,0.844904,0.225802,true
10,4edf696e-d47b-481e-8cef-5ef7ffd7b369,47e607b7-a807-41c3-86a5-7b8f87d070d2,Katrina Conroy,1,0.817192,0.254504,true
11,4edf696e-d47b-481e-8cef-5ef7ffd7b369,d98b9ee6-f706-47d5-9079-3af512fdcc8c,Dora Deckow,1,0.759974,0.03591,true
12,4edf696e-d47b-481e-8cef-5ef7ffd7b369,51eb4cf3-989d-4b4b-923e-36a25b51b7d8,Elizabeth Goldner,3,0.349224,0.561727,true
13,4edf696e-d47b-481e-8cef-5ef7ffd7b369,b61de7f5-93d5-4597-885c-ec8ab1ff4a31,Lana Streich,3,0.608223,0.288826,true
14,4edf696e-d47b-481e-8cef-5ef7ffd7b369,878b0b4f-34b5-44a2-b22f-3714a23e1bf2,Florence Corkery,1,0.018473,0.162713,true
15,4edf696e-d47b-481e-8cef-5ef7ffd7b369,0d482cee-39af-4341-b4cc-6e5385645b83,Clayton Rippin,-1,0.904344,0.42751,false
16,4edf696e-d47b-481e-8cef-5ef7ffd7b369,f38ceed6-2555-4485-8ab8-77fa8239755d,Marcia Wilderman,1,0.171269,0.869318,false
17,4edf696e-d47b-481e-8cef-5ef7ffd7b369,eb8ae91e-d42c-4d7a-abb4-cc9338f720ec,Melinda Hettinger,3,0.778296,0.00944,false
18,4edf696e-d47b-481e-8cef-5ef7ffd7b369,67af80aa-04c6-4c59-b53b-3f9332d766bd,Jon Heller,2,0.565982,0.274745,true
