nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,communication_freq,layout_x,layout_y,family_member
1,dd469149-7c2d-4f2f-838c-76b9932a6afe,52e96a2b-0524-4db0-9f99-64c458ae001b,Caroline Boyle,1,0.696295,0.385677,false
2,dd469149-7c2d-4f2f-838c-76b9932a6afe,9cbbd296-fa20-4a05-a56c-26aa40f27321,Nick MacGyver Jr.,1,0.880942,0.113064,true
3,dd469149-7c2d-4f2f-838c-76b9932a6afe,028382b1-97ad-4692-a962-804704fbfbae,Bobby Mohr,-1,0.200391,0.241897,false
4,dd469149-7c2d-4f2f-838c-76b9932a6afe,9f527527-71aa-4404-8451-3b0867b147d2,Erik Johnston,2,0.900726,0.527596,true
5,dd469149-7c2d-4f2f-838c-76b9932a6afe,84c09d9a-5c4d-44ec-a993-e4fb058a6f39,Dr. Toby O'Keefe,2,0.523702,0.819228,false
6,dd469149-7c2d-4f2f-838c-76b9932a6afe,53605b2d-5413-4d1b-b07a-9e7c48257819,Ruth Abshire,2,0.962186,0.323457,false
7,dd469149-7c2d-4f2f-838c-76b9932a6afe,9f1f9300-dc71-4c57-bb6a-07c083266c60,Ms. Melinda Simonis,2,0.738636,0.667553,false
8,dd469149-7c2d-4f2f-838c-76b9932a6afe,47774ad1-2742-45f0-9f59-c94c0c77c2f6,Derek Wolff,3,0.026142,0.720346,true
9,dd469149-7c2d-4f2f-838c-76b9932a6afe,1b600877-7589-4141-a84c-bd2885728c45,Benjamin Schmeler,3,0.471954,0.12308,true
10,dd469149-7c2d-4f2f-838c-76b9932a6afe,9a951e3d-9ad9-4c7d-ad77-43cc2f51fc9f,Marguerite Daniel,2,0.45091,0.555024,false
11,dd469149-7c2d-4f2f-838c-76b9932a6afe,1b3d6ed2-195c-4ef2-864d-6b47b9b8f3e8,Caroline Hegmann,3,0.181866,0.759584,true
12,dd469149-7c2d-4f2f-838c-76b9932a6afe,78694556-4ebd-4050-8c41-be6f0a590f0b,Mr. Bradley Mayer,1,0.604107,0.867244,true
13,dd469149-7c2d-4f2f-838c-76b9932a6afe,4a95fd77-1332-4eff-a037-84c07d66505e,Jesus Grimes,-1,0.860247,0.47627,true
14,dd469149-7c2d-4f2f-838c-76b9932a6afe,57c766de-dfcf-4027-8327-165b98c0da05,Myra Davis,3,0.721965,0.739097,false
15,dd469149-7c2d-4f2f-838c-76b9932a6afe,99bd3175-b2af-4edc-80f2-72049d0b9118,Maurice Cole,3,0.819104,0.635453,false
16,dd469149-7c2d-4f2f-838c-76b9932a6afe,e5e69d8c-7e86-41f7-9c6d-f537ad1f4491,Duane Stoltenberg,-1,0.887318,0.081305,false
17,dd469149-7c2d-4f2f-838c-76b9932a6afe,988adf16-00ea-47fc-98c0-cf9ac994695c,Mr. Antonio Grimes,2,0.2752,0.355238,false
18,dd469149-7c2d-4f2f-838c-76b9932a6afe,713a43c6-5464-4c6a-aa7f-d680c3f6a247,Gary D'Amore,1,0.012579,0.076792,true
