nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,communication_freq,layout_x,layout_y,family_member
1,a9698237-929b-4f68-a907-d506163f0b81,a7c57f85-8a90-44d5-a234-ae058e923d5c,Neal Lakin V,1,0.94328,0.385886,false
2,a9698237-929b-4f68-a907-d506163f0b81,934100fd-261f-4876-b35a-8b1235a9e85e,Julian Mosciski,-1,0.113838,0.514832,false
3,a9698237-929b-4f68-a907-d506163f0b81,7c3bb047-749a-4a28-bef3-f45cb219c493,Marilyn Morar,3,0.244113,0.438099,false
4,a9698237-929b-4f68-a907-d506163f0b81,ab6bf8dc-1156-4c70-a73c-0c16a7b07d8e,Becky Gulgowski,1,0.65019,0.952989,true
5,a9698237-929b-4f68-a907-d506163f0b81,f906c53f-ef0d-4074-b9c7-e6d6f96dfeac,Rhonda Huels,2,0.79543,0.484377,false
6,a9698237-929b-4f68-a907-d506163f0b81,4224f876-716a-4414-ace4-ea92f38ccb80,Mrs. Jeff Quitzon,3,0.431789,0.443608,false
7,a9698237-929b-4f68-a907-d506163f0b81,a76c43f3-a182-41b6-a9f9-545dd2f86dc1,Brad Padberg III,1,0.776267,0.068008,true
8,a9698237-929b-4f68-a907-d506163f0b81,7c9a2af7-5c03-4dd1-8fa9-43e24a32f438,Travis O'Keefe,1,0.415116,0.324395,false
9,a9698237-929b-4f68-a907-d506163f0b81,1b11772f-7ce6-4462-8cb4-f97fcdc24602,Lois Bergstrom,1,0.777058,0.254473,true
10,a9698237-929b-4f68-a907-d506163f0b81,c1564bb9-9f7f-4c7c-ab1a-2b0a45ef6810,Miss Helen Mitchell,3,0.274573,0.878488,false
11,a9698237-929b-4f68-a907-d506163f0b81,daba6135-70ed-4fd4-81ff-60e961f62cba,Floyd Romaguera,-1,0.577611,0.804046,true
12,a9698237-929b-4f68-a907-d506163f0b81,18be7897-6d69-4cb4-9704-296cdfee20b4,Kenneth Brakus,1,0.08216,0.161118,false
13,a9698237-929b-4f68-a907-d506163f0b81,d8e8ef00-aff9-4051-958c-b4f2da103cc3,Theodore Sipes PhD,-1,0.240836,0.886473,true
14,a9698237-929b-4f68-a907-d506163f0b81,2e3561c9-2749-4ee3-9572-981ec20bc09a,Seth Muller Sr.,-1,0.059321,0.343007,true
