nodeID,networkCanvasEgoUUID,networkCanvasUUID,name,communication_freq,layout_x,layout_y,family_member
1,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,a61ed27d-6aaa-4480-b486-a5eb4cc40be2,Geoffrey Anderson,1,0.862179,0.358431,true
2,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,a19f9ec8-6a12-4d21-9358-67c95f3a4c06,Ms. Ted Schroeder,1,0.208568,0.829016,true
3,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,d1d149d5-e5f4-4174-b51e-dca26f9d0d3a,Julio Bosco,3,0.197955,0.47561,true
4,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,306ddef2-0a4b-4516-9ab3-b0d7261caf0b,Dale Murphy,2,0.653144,0.978189,true
5,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,32999772-b797-4048-a8ff-5f34ce1fb6d3,Carlton Orn,2,0.500104,0.310451,true
6,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,b02d1cf1-3974-49b2-994e-afc431ee408e,Phillip Mosciski,2,0.386331,0.19474,false
7,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,edbdbd8b-0dd9-47c3-86a3-6a1836da03ae,Wesley Larson,-1,0.481552,0.704907,true
8,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,8a4999bc-7fa9-4908-91cc-42796ffd9be7,Shawn Cartwright,2,0.949084,0.343145,false
9,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,8302446d-d4ca-403f-b9c9-2bd0985ff7c4,Lynette Koss,-1,0.680962,0.735631,false
10,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,717835da-2276-4b9d-9e2d-af26972e7683,Miss Danny Rohan,-1,0.334684,0.438611,false
11,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,1308e26a-340f-4e96-9c14-e225f8010176,Carlton Terry,3,0.496498,0.405659,false
12,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,d903023e-c265-4dbd-8b38-35cce89dda66,Nathan Funk,-1,0.02972,0.800325,false
13,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,cdb452f4-b535-4e64-8717-96874b434576,Sandra Brekke,-1,0.503607,0.465047,true
14,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,871862b4-864f-4c18-b822-79386ce58463,Gayle Lakin,-1,0.316279,0.842107,false
15,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,b8f64978-f976-4c72-a929-10bf891567fc,Cheryl Ward,-1,0.311117,0.893758,false
16,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,5c01f0fb-c283-4d5a-b345-173f0fe16dd6,Ashley Von,3,0.084153,0.513776,false
17,7fdfd6a5-07c4-4c56-8186-01a2a2ef1fd4,a5ad98d0-da17-4b0c-9dfe-f1cd3bbf3826,Dustin Huel,-1,0.858437,0.011187,false
